y_true,y_pred,y_prob
1,1,1.0
0,0,0.0
1,1,1.0
1,1,0.9047619047619048
1,1,0.5714285714285714
0,0,0.09523809523809523
0,0,0.0
0,0,0.09523809523809523
1,1,1.0
0,0,0.047619047619047616
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.7619047619047619
1,1,1.0
1,1,1.0
0,0,0.0
1,1,0.9047619047619048
1,1,1.0
0,0,0.19047619047619047
1,1,1.0
0,0,0.19047619047619047
1,1,1.0
0,0,0.0
1,1,0.9523809523809523
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.09523809523809523
1,1,1.0
1,1,1.0
0,0,0.42857142857142855
1,1,0.9523809523809523
0,0,0.0
0,0,0.0
0,0,0.047619047619047616
0,0,0.0
0,0,0.047619047619047616
1,1,0.9523809523809523
1,1,0.9523809523809523
0,0,0.09523809523809523
0,0,0.0
0,0,0.0
0,0,0.42857142857142855
0,0,0.0
0,0,0.3333333333333333
1,0,0.3333333333333333
1,1,0.6190476190476191
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,0,0.38095238095238093
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.047619047619047616
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,0,0.47619047619047616
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
0,0,0.0
1,1,0.6190476190476191
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.6190476190476191
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.8095238095238095
0,0,0.47619047619047616
0,0,0.0
1,1,1.0
1,1,0.8571428571428571
1,1,1.0
1,1,1.0
1,1,0.5714285714285714
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.42857142857142855
0,0,0.047619047619047616
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.23809523809523808
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.09523809523809523
1,1,1.0
0,0,0.0
1,1,1.0
1,1,0.8571428571428571
1,1,1.0
1,1,0.8095238095238095
0,0,0.0
0,0,0.42857142857142855
1,1,1.0
0,0,0.47619047619047616
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.047619047619047616
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.5238095238095238
1,1,1.0
1,1,1.0
1,1,0.6190476190476191
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
1,1,0.7142857142857143
0,0,0.0
0,0,0.0
1,1,0.8571428571428571
1,1,0.9047619047619048
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.09523809523809523
1,1,1.0
1,1,0.8571428571428571
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.3333333333333333
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.09523809523809523
0,0,0.0
0,0,0.09523809523809523
0,0,0.0
1,1,1.0
1,1,0.9523809523809523
0,0,0.0
0,0,0.09523809523809523
1,1,0.8571428571428571
1,1,0.6666666666666666
1,1,1.0
0,0,0.42857142857142855
0,0,0.2857142857142857
0,0,0.3333333333333333
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.09523809523809523
0,0,0.0
1,1,0.7619047619047619
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,0.5714285714285714
0,0,0.0
0,0,0.19047619047619047
1,1,1.0
1,1,0.8571428571428571
1,1,1.0
0,0,0.0
1,1,0.9523809523809523
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,0.6666666666666666
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.7619047619047619
0,0,0.0
0,0,0.0
1,1,0.8571428571428571
0,0,0.19047619047619047
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.6666666666666666
0,0,0.09523809523809523
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.42857142857142855
0,0,0.14285714285714285
1,1,1.0
0,0,0.0
1,1,0.5238095238095238
0,0,0.23809523809523808
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,0.9523809523809523
0,0,0.42857142857142855
1,1,0.8571428571428571
1,1,1.0
0,0,0.047619047619047616
0,1,0.5714285714285714
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9523809523809523
0,0,0.0
0,0,0.23809523809523808
0,0,0.047619047619047616
0,0,0.14285714285714285
1,1,1.0
1,1,0.5714285714285714
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.19047619047619047
0,0,0.0
1,1,0.6666666666666666
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.23809523809523808
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.3333333333333333
0,0,0.0
1,0,0.47619047619047616
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.8571428571428571
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,0,0.47619047619047616
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,0.7142857142857143
0,0,0.0
0,0,0.0
1,1,0.8095238095238095
0,0,0.2857142857142857
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.8571428571428571
0,1,0.6666666666666666
1,1,1.0
1,1,0.7619047619047619
1,1,0.9047619047619048
1,1,1.0
0,0,0.0
0,1,0.6190476190476191
1,1,1.0
1,1,1.0
0,0,0.0
1,1,0.7619047619047619
1,1,0.6666666666666666
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.8095238095238095
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.38095238095238093
1,1,1.0
0,0,0.09523809523809523
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.38095238095238093
1,1,1.0
0,0,0.047619047619047616
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.19047619047619047
0,0,0.0
0,0,0.047619047619047616
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.2857142857142857
1,1,1.0
1,0,0.3333333333333333
0,0,0.0
0,0,0.0
1,1,0.7142857142857143
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.09523809523809523
0,0,0.0
0,0,0.047619047619047616
1,1,0.9523809523809523
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.38095238095238093
0,0,0.047619047619047616
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.8571428571428571
0,0,0.0
0,1,0.5714285714285714
1,1,1.0
0,0,0.14285714285714285
0,0,0.23809523809523808
0,0,0.047619047619047616
0,0,0.19047619047619047
1,1,1.0
0,0,0.14285714285714285
0,0,0.38095238095238093
0,1,0.5238095238095238
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.3333333333333333
1,1,0.9047619047619048
1,1,0.8571428571428571
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.3333333333333333
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.47619047619047616
1,1,1.0
1,1,0.9523809523809523
0,0,0.0
0,0,0.0
0,0,0.2857142857142857
1,1,1.0
1,1,1.0
1,1,0.8571428571428571
1,0,0.42857142857142855
0,1,0.7619047619047619
1,1,0.8095238095238095
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.047619047619047616
1,1,1.0
0,0,0.0
0,0,0.047619047619047616
0,0,0.0
0,0,0.0
1,0,0.47619047619047616
1,1,0.8571428571428571
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.42857142857142855
1,1,0.9523809523809523
1,1,0.6190476190476191
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.8095238095238095
1,1,0.7619047619047619
0,0,0.0
0,0,0.0
0,0,0.2857142857142857
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.6190476190476191
1,1,0.9047619047619048
0,0,0.14285714285714285
0,0,0.047619047619047616
1,1,1.0
1,1,1.0
0,0,0.0
1,0,0.47619047619047616
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.6666666666666666
1,1,1.0
1,1,0.6666666666666666
0,0,0.14285714285714285
0,0,0.047619047619047616
1,1,1.0
1,1,0.7619047619047619
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,0.7619047619047619
0,0,0.0
0,0,0.047619047619047616
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.2857142857142857
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.7619047619047619
0,0,0.47619047619047616
1,1,1.0
1,0,0.42857142857142855
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.23809523809523808
1,0,0.23809523809523808
1,1,1.0
1,1,1.0
0,0,0.047619047619047616
0,0,0.0
0,0,0.14285714285714285
1,1,0.6666666666666666
1,1,1.0
1,1,0.9523809523809523
1,1,0.5714285714285714
1,0,0.47619047619047616
0,0,0.0
1,1,0.6190476190476191
0,0,0.0
0,0,0.19047619047619047
1,1,0.9523809523809523
1,0,0.47619047619047616
1,1,1.0
1,1,1.0
0,0,0.0
1,0,0.23809523809523808
0,0,0.0
0,0,0.0
1,1,0.6190476190476191
0,0,0.09523809523809523
1,1,0.9523809523809523
1,1,0.8571428571428571
1,1,1.0
0,0,0.0
1,1,1.0
1,1,0.7619047619047619
0,0,0.0
0,0,0.047619047619047616
1,1,0.8095238095238095
1,1,0.9523809523809523
1,1,1.0
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.14285714285714285
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.7619047619047619
1,1,1.0
1,1,1.0
1,1,0.6190476190476191
0,0,0.3333333333333333
1,1,1.0
1,1,0.7619047619047619
0,0,0.0
1,1,1.0
1,1,0.7142857142857143
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,0.9047619047619048
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.8571428571428571
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.47619047619047616
1,1,0.6666666666666666
0,0,0.19047619047619047
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.38095238095238093
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.7142857142857143
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.42857142857142855
1,1,1.0
1,1,1.0
0,0,0.0
